Challenge,Example Moment to Film,Unexpected Sound Effect,Vibe
Higher Ground,Capture yourself somewhere elevated or with a great view.,A dramatic movie trailer boom followed by an orchestra swell of beauty.,Beautiful
Perfect Timing,Record something happening at exactly the right moment.,A game show buzzer followed by a confused ‘hmm?’,Beautiful
Unexpected Beauty,Find something ordinary that looks amazing.,A choir of tiny cartoon voices saying ‘wow.’,Funny
Made You Look,Film something that instantly grabs your attention.,A record scratch followed by a confused pigeon coo.,Random
Small Victory,Capture yourself completing something satisfying.,A huge victory fanfare played on a tiny toy instrument.,Random
Lucky Find,Discover something surprising or unusual.,A treasure chest opening sound followed by a single coin drop.,Random
Hidden Corner,Find a place most people overlook.,A mysterious detective sting followed by a goofy whistle.,Beautiful
New Perspective,Show something from a unique angle.,A camera zoom sound followed by a cartoon pop.,Random
Golden Moment,Capture a scene with beautiful lighting.,A magical sparkle sound interrupted by a phone ringing in the distance.,Funny
Reflection,Film an interesting reflection.,A glass shimmer followed by a person clearing their throat awkwardly.,Beautiful
Follow The Sound,Capture an interesting sound or music nearby.,"Footsteps approaching, then a tiny kazoo melody.",Funny
Above You,Film something interesting overhead.,A dramatic eagle-like cry that slowly turns into a chicken noise.,Funny
Motion Blur,Capture something moving quickly.,A fast whoosh that ends with a bicycle bell.,Random
Quiet Moment,Capture a peaceful scene.,Calm meditation tones interrupted by a loud sneeze.,Beautiful
The Journey,Film a moment while traveling somewhere.,Car engine revving followed by a cartoon walking sound.,Random
Unexpected Guest,"Capture an animal, person, or thing appearing unexpectedly.",Suspense music followed by a tiny gasp.,Random
Color Explosion,Capture a scene full of interesting colors.,Paint splash sounds mixed with a playful trumpet.,Beautiful
Almost Perfect,Capture a funny fail or near success.,Sad trombone followed by encouraging applause.,Funny
Worth Remembering,Capture a moment you’ll want to save.,Old camera shutter followed by a warm crowd cheer.,Random
Legendary Moment,Capture something truly unique.,An epic cinematic buildup ending with a squeaky rubber duck.,Beautiful
The Discovery,Find something you’ve never noticed before in a familiar place.,Detective music that ends with a confused ‘huh?’,
Tiny Adventure,Turn an ordinary trip into something interesting.,Epic fantasy music that gets interrupted by a bicycle horn.,
The Shortcut,"Find a faster, easier, or unexpected way to do something.",Racing countdown that ends with a lazy yawn.,
Main Character Moment,Capture yourself having a cinematic-looking moment.,Dramatic orchestra hit followed by someone saying ‘nice jacket.’,
The Pause,Stop and capture something worth noticing.,Clock ticking that slows down into a silly squeak.,
Almost Invisible,Find something hidden in plain sight.,Spy music followed by a loud cartoon gasp.,
The Upgrade,Improve something around you.,Mechanical transformation sounds ending with a tiny applause.,
Unexpected Talent,Capture yourself or someone doing something impressive.,Talent show music followed by a single confused clap.,
The Escape,Capture a moment away from your normal routine.,Prison break music followed by a doorbell.,
The Collector,Find and capture something unique.,Treasure hunt music ending with a rubber duck squeak.,
The Comeback,Try something again and succeed.,Rocky-style training drums played on toy drums.,
The Challenge Accepted,Attempt something you normally wouldn’t.,Heroic speech buildup followed by a nervous gulp.,
The Little Thing,Notice and film a small detail most people ignore.,Microscopic zoom sound followed by a tiny trumpet.,
The Surprise,Capture something you didn’t expect to happen.,Suspense sting followed by a party popper.,
The Perfect Spot,Find a place that feels special.,Angelic choir interrupted by a mosquito buzz.,
The Connection,Capture a meaningful interaction with someone.,Romantic music that suddenly turns into a goofy kazoo.,
The Odd One Out,Find something unusual among normal things.,Alien transmission sounds followed by a confused chicken.,
The Balance,Capture something perfectly aligned or satisfying.,Tension music followed by a coin landing sound.,
The Before & After,Show a noticeable change.,Time-travel whoosh followed by an old person saying ‘what happened?’,
The Highlight,Capture the best moment of your day.,Sports announcer excitement followed by a tiny party horn.,
